,stft,cqt,centroid,bandwidth,rollof,tempo,rms,zero_crossing_rate,genre
55,0.3122267,0.4240195,2182.177605351968,2304.805967000399,4583.0722867888935,129.19921875,0.2612836,0.09058675382159442,pop
56,0.324428,0.4885299,1945.621681868662,2274.4959387374033,4040.0589036498645,129.19921875,0.30148828,0.07656718629063468,pop
57,0.33363736,0.44514692,1977.9865029644461,2216.9223363710726,4024.3589985850426,129.19921875,0.27261418,0.0790392046004257,pop
58,0.3214603,0.3726968,2098.3224914513085,2338.252057961013,4504.8644263677925,129.19921875,0.29848203,0.07810912708010836,pop
59,0.3120827,0.6127548,2611.7897764266295,2301.812985005229,4978.636561532508,95.703125,0.11573216,0.13162089722813466,pop
60,0.38152093,0.59677225,2608.3625678391863,2517.71894074179,5252.859903341477,95.703125,0.18576594,0.12527928780476005,pop
61,0.4234386,0.45607516,2544.778600083601,2578.295333916769,5342.00103098394,95.703125,0.22650614,0.10377488269156347,pop
62,0.3613266,0.61497056,2428.813385618561,2375.20584744887,4887.303780476006,95.703125,0.16559198,0.11433793295278638,pop
63,0.441489,0.49092463,2515.646960842939,2580.9551068189194,5267.684813697271,95.703125,0.22797915,0.1074702496130031,pop
64,0.44392473,0.61246556,2588.10979389019,2522.6156019482887,5283.859715889851,161.4990234375,0.17614345,0.12844820288312694,pop
65,0.43010142,0.49298477,2567.989782704526,2614.86231143907,5342.88435897591,161.4990234375,0.25585976,0.10861801289183437,pop
66,0.3994212,0.5162998,2628.9288302760356,2505.1307567887025,5320.784492610778,161.4990234375,0.20723838,0.12892136706656346,pop
67,0.42872006,0.45585597,2557.313877331694,2564.1923807201006,5226.268397470008,161.4990234375,0.26420242,0.1179085840750774,pop
68,0.46722567,0.48392004,2479.105110854509,2435.2297792612276,4984.7531912127515,161.4990234375,0.24930088,0.1189218054614938,pop
69,0.3712102,0.5094026,1490.3108754540772,1868.7816780365126,3126.0227640346848,117.45383522727273,0.17866412,0.056422939241486066,pop
70,0.41921145,0.4056089,1734.460915736022,2236.675496699034,3928.1262471579917,117.45383522727273,0.24159756,0.05012290175116099,pop
71,0.40465105,0.44080886,1925.5268577258867,2327.4219864851566,4187.316346537587,117.45383522727273,0.29099756,0.062240364381772446,pop
72,0.3541118,0.44324234,2210.7559883043446,2439.60089759456,4802.420960417473,117.45383522727273,0.19431853,0.0871835242114938,pop
73,0.3982559,0.474186,2000.5866632519767,2377.2832759604926,4386.1734774090555,117.45383522727273,0.28984687,0.06679475861068111,pop
74,0.31421953,0.40666622,1792.2157240357026,2133.535540430713,3761.210589807469,123.046875,0.07582084,0.07210538409442724,pop
75,0.39281988,0.5864837,2017.6049865840941,2322.7830011762335,4428.189890008223,123.046875,0.13988367,0.08272474542859908,pop
76,0.40953758,0.4821408,2238.590904993824,2563.204234247305,5100.110826994243,123.046875,0.14598581,0.08026860003869969,pop
77,0.3900826,0.513584,2291.721391669155,2551.002743478321,5188.310293664135,123.046875,0.17124636,0.08939099385642414,pop
78,0.37945035,0.4974657,2198.1222897665884,2480.0169044091376,4893.803741171633,123.046875,0.14158054,0.08395489672020123,pop
79,0.332095,0.45556343,1888.9052374706796,2160.4743957533883,3879.9432051809213,172.265625,0.29438585,0.0792720074255031,pop
80,0.3114229,0.40949506,1641.9295923010447,2171.7643529855927,3437.5042138823046,86.1328125,0.38067657,0.0575291305872678,pop
81,0.32178503,0.47290403,1741.6036219518453,2209.5505291529817,3665.0278380780765,172.265625,0.3576902,0.0622218459752322,pop
82,0.31537125,0.37044528,1668.8378173467647,2201.8003889024503,3505.353803605118,117.45383522727273,0.39451125,0.05931823541505418,pop
83,0.3676368,0.45459446,1809.7740954005883,2191.3058400952627,3829.843508126935,86.1328125,0.3518474,0.07341301035216719,pop
84,0.40593186,0.5940016,2888.11160884026,2654.1075915341407,5872.797821328367,95.703125,0.16262303,0.13664845564047987,pop
85,0.44662687,0.54283094,2893.8290791400827,2656.2242313748898,5818.3481505780765,95.703125,0.16319707,0.13930716972232973,pop
